region,road_bucket,day_kind,minute,multiplier,as_of_utc
east_midlands,mixed,holiday,0,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,15,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,30,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,45,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,60,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,75,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,90,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,105,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,120,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,135,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,150,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,165,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,180,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,195,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,210,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,225,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,240,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,255,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,270,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,285,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,300,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,315,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,330,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,345,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,360,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,375,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,390,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,405,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,420,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,435,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,450,0.912777,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,465,0.887622,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,480,0.887622,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,495,0.887622,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,510,0.869212,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,525,0.869212,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,540,0.869212,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,555,0.869212,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,570,0.869212,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,585,0.883805,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,600,0.883805,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,615,0.883805,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,630,0.873404,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,645,0.873404,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,660,0.873404,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,675,0.873404,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,690,0.901275,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,705,0.901275,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,720,0.901275,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,735,0.901275,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,750,0.911025,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,765,0.911025,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,780,0.911025,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,795,0.911025,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,810,0.911025,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,825,0.921048,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,840,0.921048,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,855,0.921048,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,870,0.958017,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,885,0.958017,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,900,0.958017,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,915,0.958017,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,930,0.960809,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,945,0.960809,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,960,0.960809,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,975,0.960809,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,990,0.960809,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1005,0.977151,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1020,0.977151,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1035,0.977151,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1050,0.984305,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1065,0.984305,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1080,0.984305,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1095,0.984305,2026-03-04T14:57:22Z
east_midlands,mixed,holiday,1110,0.984305,2026-03-04T14:57:22Z
