iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:41010ea9e528a1f40da5547aa4f516f827d74cf2,refine_top1_dccs,41010ea9e528a1f40da5547aa4f516f827d74cf2,1,0,0.378483,0.207814,0.088905,0.292379,route_0,1.0
0,refine_topk_dccs:31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,refine_topk_dccs,31aa31e8ea1a940ea1e6c0844551391d61ce1c9f,2,0,0.376344,0.209612,0.131496,0.148967,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:3d1ef1ce1e8eecd91269993943b4a267ace6f588,refine_top1_dccs,3d1ef1ce1e8eecd91269993943b4a267ace6f588,1,0,0.37764,0.206748,0.085688,0.291124,route_0,1.0
1,refine_topk_dccs:af3232c9bafbacd58cb17f7aa9a281ed027fea0a,refine_topk_dccs,af3232c9bafbacd58cb17f7aa9a281ed027fea0a,2,0,0.376239,0.209441,0.130516,0.14884,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:bde1c90effba4636950c80aa34626a36270a755b,refine_top1_dccs,bde1c90effba4636950c80aa34626a36270a755b,1,0,0.382654,0.213104,0.100759,0.297982,route_0,1.0
2,refine_topk_dccs:e697cf6ad31a58cb59168d7ad5834203761732f0,refine_topk_dccs,e697cf6ad31a58cb59168d7ad5834203761732f0,2,0,0.379174,0.213137,0.138938,0.150815,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,refine_top1_dccs:7b110b16b9f3449ef55a5b6146f70329a0cd3933,refine_top1_dccs,7b110b16b9f3449ef55a5b6146f70329a0cd3933,1,0,0.386063,0.217499,0.110616,0.302605,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
6,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.098113,0.0,0.029434,0.063283,route_0,1.0
6,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
6,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
