route_id,selected,distance_km,duration_s,monetary_cost,emissions_kg
route_0,True,188.75,9825.83,193.73,267.526
route_13,False,193.876,12921.57,188.88,246.263
route_3,False,201.456,10855.13,205.04,281.162
route_8,False,220.244,12077.22,220.87,301.186
route_10,False,232.647,12594.71,234.59,320.913
route_7,False,216.817,12024.13,218.41,297.479
route_5,False,207.395,11265.34,210.73,288.48
route_12,False,243.222,12950.33,243.23,333.216
route_4,False,204.417,11160.43,207.01,282.981
route_9,False,215.925,12204.37,216.75,294.04
