iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:2d80d3c551b720a7169bd565ae32d5de210c37b8,refine_top1_dccs,2d80d3c551b720a7169bd565ae32d5de210c37b8,1,0,0.371431,0.207116,0.063644,0.284184,route_0,1.0
0,refine_topk_dccs:c6f1fa1d4e5a71bfa35415b12f6ee0fdf5169f71,refine_topk_dccs,c6f1fa1d4e5a71bfa35415b12f6ee0fdf5169f71,2,0,0.363578,0.191943,0.089401,0.139771,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:4d4baa1cce6030b3c38a63c7959afbdf9efae011,refine_top1_dccs,4d4baa1cce6030b3c38a63c7959afbdf9efae011,1,0,0.390031,0.220839,0.123806,0.307799,route_0,1.0
1,refine_topk_dccs:61475b523f78ddf464025c239e121e23a9ab026c,refine_topk_dccs,61475b523f78ddf464025c239e121e23a9ab026c,2,0,0.373965,0.200169,0.122131,0.14637,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:87583b99b581b7b2f48c6606c742e1b8ece13045,refine_top1_dccs,87583b99b581b7b2f48c6606c742e1b8ece13045,1,0,0.396069,0.239671,0.141361,0.318763,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
