iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:7b38f9e9c9a96bc17a7e681e956745f59342c1c9,refine_top1_dccs,7b38f9e9c9a96bc17a7e681e956745f59342c1c9,1,0,0.428412,0.282728,0.250373,0.365285,route_0,1.0
0,refine_topk_dccs:c7c3307d244015d65771e8d565e470786182231b,refine_topk_dccs,c7c3307d244015d65771e8d565e470786182231b,2,0,0.425681,0.279117,0.291346,0.184445,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:eac48602573a8f45f8c14f9305a04d011538198c,refine_top1_dccs,eac48602573a8f45f8c14f9305a04d011538198c,1,0,0.433439,0.289332,0.265999,0.372296,route_0,1.0
1,refine_topk_dccs:d91d8de085c1e10c8c0809df2d3b5e25e556725f,refine_topk_dccs,d91d8de085c1e10c8c0809df2d3b5e25e556725f,2,0,0.428609,0.282947,0.300036,0.186454,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:275ee8060edfad4f672e1dbfbefa537e97ed626f,refine_top1_dccs,275ee8060edfad4f672e1dbfbefa537e97ed626f,1,0,0.439041,0.287331,0.283739,0.377818,route_0,1.0
2,refine_topk_dccs:d2ae34d8a01cd1821d3cb4d38713503e5b6418ca,refine_topk_dccs,d2ae34d8a01cd1821d3cb4d38713503e5b6418ca,2,0,0.431903,0.28259,0.309981,0.188143,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,refine_top1_dccs:74e6855f26cf2df2c6a695dc525e11418d7af6be,refine_top1_dccs,74e6855f26cf2df2c6a695dc525e11418d7af6be,1,0,0.449249,0.300874,0.316125,0.392187,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.048718,0.0,0.014615,0.031423,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.04185,0.0,0.012555,0.026993,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
6,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.036679,0.0,0.011004,0.023658,route_0,1.0
6,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
6,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
