pair_index,origin_lat,origin_lon,destination_lat,destination_lon,error,route_id,distance_km,duration_s,monetary_cost,emissions_kg,avg_speed_kmh,selected
0,51.5074,-0.1278,52.4862,-1.8904,,route_0,188.75,9825.83,193.73,267.526,69.15,True
0,51.5074,-0.1278,52.4862,-1.8904,,route_13,193.876,12921.57,188.88,246.263,54.01,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_3,201.456,10855.13,205.04,281.162,66.81,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_8,220.244,12077.22,220.87,301.186,65.65,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_10,232.647,12594.71,234.59,320.913,66.5,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_7,216.817,12024.13,218.41,297.479,64.91,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_5,207.395,11265.34,210.73,288.48,66.28,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_12,243.222,12950.33,243.23,333.216,67.61,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_4,204.417,11160.43,207.01,282.981,65.94,False
0,51.5074,-0.1278,52.4862,-1.8904,,route_9,215.925,12204.37,216.75,294.04,63.69,False
