iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:4d4baa1cce6030b3c38a63c7959afbdf9efae011,refine_top1_dccs,4d4baa1cce6030b3c38a63c7959afbdf9efae011,1,0,0.525884,0.402077,0.573043,0.502006,route_0,1.0
0,refine_topk_dccs:74fb7a0151ddade4de2748f6876b7b1ffc7fef2d,refine_topk_dccs,74fb7a0151ddade4de2748f6876b7b1ffc7fef2d,2,0,0.522412,0.402921,0.611464,0.252948,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.054286,0.0,0.016286,0.035014,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:4d4baa1cce6030b3c38a63c7959afbdf9efae011,refine_top1_dccs,4d4baa1cce6030b3c38a63c7959afbdf9efae011,1,0,0.527655,0.404643,0.576586,0.504242,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.054286,0.0,0.016286,0.035014,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.054286,0.0,0.016286,0.035014,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.045894,0.0,0.013768,0.029601,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.039749,0.0,0.011925,0.025638,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
