iteration,action_id,kind,target,cost_search,cost_evidence,predicted_delta_certificate,predicted_delta_margin,predicted_delta_frontier,q_score,selected_route_id,selected_certificate
0,refine_top1_dccs:6917ef9f84736951d8abd6767afb65f6cfa8a4b4,refine_top1_dccs,6917ef9f84736951d8abd6767afb65f6cfa8a4b4,1,0,0.449988,0.302802,0.327255,0.394781,route_0,1.0
0,refine_topk_dccs:fae7f6e179f05878365686ed3056cb4b2298591a,refine_topk_dccs,fae7f6e179f05878365686ed3056cb4b2298591a,2,0,0.448802,0.301214,0.373285,0.200289,route_0,1.0
0,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
0,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
0,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
1,refine_top1_dccs:760ef3f92c63f20033eaefe40e0ceae1de9712cf,refine_top1_dccs,760ef3f92c63f20033eaefe40e0ceae1de9712cf,1,0,0.457272,0.312145,0.349478,0.404821,route_0,1.0
1,refine_topk_dccs:fd9c077ec3785bd1b568e7cfd3df9d28717044db,refine_topk_dccs,fd9c077ec3785bd1b568e7cfd3df9d28717044db,2,0,0.453173,0.306716,0.385906,0.203234,route_0,1.0
1,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
1,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
1,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
2,refine_top1_dccs:73a67157ce61c8409e4e57933d70b91767f2e2a0,refine_top1_dccs,73a67157ce61c8409e4e57933d70b91767f2e2a0,1,0,0.457577,0.321846,0.348336,0.407258,route_0,1.0
2,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
2,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
2,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
3,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.0425,0.0,0.01275,0.027412,route_0,1.0
3,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
3,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
4,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.035417,0.0,0.010625,0.022844,route_0,1.0
4,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
4,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
5,resample:stochastic,increase_stochastic_samples,stochastic,0,1,0.030357,0.0,0.009107,0.01958,route_0,1.0
5,refresh:carbon,refresh_top1_vor,carbon,0,1,0.0,0.0,0.0,0.0,route_0,1.0
5,stop,stop,stop,0,0,0.0,0.0,0.0,0.0,route_0,1.0
